ind;press;temp
513;24.31435593;25.021
514;24.40335593;25.018
515;24.42035593;25.019
516;24.40335593;25.019
517;24.41135593;25.019
518;24.46535593;25.018
519;24.51835593;25.015
520;24.56235593;25.018
521;24.56235593;25.018
522;24.60735593;25.017
523;24.66935593;25.018
524;24.76735593;25.013
525;24.88235593;25.015
526;24.97135593;25.008
527;24.98835593;25.001
528;24.92635593;25.003
529;24.86435593;25.005
530;24.84635593;25.006
531;24.84635593;25.007
532;24.88235593;25.008
533;24.90035593;25.01
534;24.97135593;25.006
535;25.05935593;24.997
536;25.21035593;24.979
537;25.35235593;24.963
538;25.48635593;24.95
539;25.52135593;24.946
540;25.50335593;24.947
541;25.44135593;24.947
542;25.37935593;24.947
543;25.34435593;24.946
544;25.37035593;24.948
545;25.42335593;24.945
546;25.53035593;24.946
547;25.60135593;24.943
548;25.69935593;24.941
549;25.78735593;24.939
550;25.86735593;24.936
551;25.95635593;24.929
552;26.03635593;24.905
553;26.03635593;24.888
554;25.96535593;24.891
555;25.90335593;24.904
556;25.86735593;24.914
557;25.84135593;24.92
558;25.85035593;24.922
559;25.95635593;24.92
560;26.10735593;24.896
561;26.20535593;24.859
562;26.29335593;24.832
563;26.34735593;24.818
564;26.33835593;24.811
565;26.32035593;24.813
566;26.26735593;24.817
567;26.21435593;24.819
568;26.22235593;24.82
569;26.27635593;24.814
570;26.32935593;24.801
571;26.43635593;24.787
572;26.55135593;24.76
573;26.64935593;24.722
574;26.71135593;24.691
575;26.79135593;24.66
576;26.89735593;24.602
577;26.91535593;24.546
578;26.87135593;24.532
579;26.79135593;24.535
580;26.78235593;24.556
581;26.75535593;24.573
582;26.81735593;24.566
583;26.92435593;24.527
584;27.03035593;24.495
585;27.14635593;24.475
586;27.17235593;24.461
587;27.22635593;24.455
588;27.23535593;24.452
589;27.28835593;24.45
590;27.33235593;24.438
591;27.37735593;24.421
592;27.35035593;24.416
593;27.34135593;24.419
594;27.33235593;24.42
595;27.37735593;24.417
596;27.45735593;24.405
597;27.58135593;24.381
598;27.75035593;24.362
599;27.89235593;24.341
600;27.94535593;24.327
601;27.91835593;24.325
602;27.84735593;24.325
603;27.75835593;24.33
604;27.73235593;24.335
605;27.76735593;24.335
606;27.82135593;24.333
607;27.84735593;24.329
608;27.91835593;24.325
609;28.01635593;24.317
610;28.13135593;24.296
611;28.25635593;24.26
612;28.40735593;24.233
613;28.55835593;24.213
614;28.58435593;24.196
615;28.53135593;24.198
616;28.42435593;24.203
617;28.34535593;24.21
618;28.32735593;24.213
619;28.38035593;24.212
620;28.45135593;24.209
621;28.59335593;24.196
622;28.73535593;24.177
623;28.84235593;24.164
624;28.89535593;24.159
625;28.90435593;24.156
626;28.91335593;24.153
627;28.95735593;24.151
628;29.01135593;24.149
629;29.01935593;24.149
630;28.98435593;24.15
631;29.00235593;24.15
632;29.03735593;24.149
633;29.09035593;24.147
634;29.17935593;24.14
635;29.32135593;24.133
636;29.45535593;24.128
637;29.52635593;24.12
638;29.53435593;24.12
639;29.51735593;24.12
640;29.43735593;24.122
641;29.37535593;24.123
642;29.36635593;24.124
643;29.43735593;24.124
644;29.57935593;24.121
645;29.71235593;24.113
646;29.78335593;24.101
647;29.83635593;24.092
648;29.86335593;24.09
649;29.87235593;24.087
650;29.85435593;24.087
651;29.91635593;24.083
652;29.99635593;24.08
653;30.04135593;24.073
654;30.01435593;24.071
655;30.00535593;24.072
656;30.02335593;24.067
657;30.08535593;24.064
658;30.19235593;24.06
659;30.34335593;24.054
660;30.42335593;24.049
